name1	name2	form1	form2	result	concentration1	concentration2	goal_diff	score_diff	history	motivation1	motivation2
Манчестер Юнайтед	Манчестер Сити	1.0	0.6	0.0	1.0	0.8	0.5757575757575758	0.6388888888888888	0.5	1.0	1.0
Манчестер Юнайтед	Челси	0.6	0.7	0.0	1.0	0.8	0.5704225352112676	0.6666666666666666	0.25	1.0	1.0
Манчестер Юнайтед	Арсенал	0.8	0.5	1.0	1.0	0.2	0.5625	0.6578947368421053	1.0	0.0	0.0
Манчестер Юнайтед	Тоттенхэм Хотспур	0.8	0.6	0.0	1.0	1.0	0.6333333333333333	0.6666666666666666	1.0	0.0	0.0
Манчестер Юнайтед	Эвертон	0.9	0.7	1.0	1.0	1.0	0.6727272727272727	0.7222222222222222	0.25	0.7692307692307692	0.9487179487179488
Манчестер Юнайтед	Ливерпуль	0.9	0.6	1.0	1.0	1.0	0.6764705882352942	0.7763157894736843	1.0	1.0	1.0
Манчестер Юнайтед	Вест Бромвич Альбион	0.9	0.5	1.0	1.0	1.0	0.6829268292682926	0.6805555555555556	1.0	0.8771929824561403	0.9649122807017544
Манчестер Юнайтед	Суонси Сити	0.6	0.5	1.0	1.0	1.0	0.8	0.825	0.75	1.0	1.0
Манчестер Юнайтед	Вест Хэм Юнайтед	0.8	0.4	1.0	0.2	0.8	0.8493150684931507	0.8359375	0.5	0.0	0.0
Манчестер Юнайтед	Норвич Сити	0.9	0.5	1.0	1.0	1.0	0.8983050847457628	0.8529411764705883	0.5	0.6363636363636364	0.7575757575757576
Манчестер Юнайтед	Сток Сити	0.8	0.5	1.0	1.0	1.0	0.6521739130434783	0.7058823529411764	0.75	0.0	0.0
Манчестер Юнайтед	Саутгемптон	0.9	0.6	1.0	1.0	1.0	0.8698630136986301	0.875	0.5	0.7555555555555555	0.9555555555555556
Манчестер Юнайтед	Астон Вилла	0.7	0.7	1.0	1.0	1.0	0.9705882352941176	0.912280701754386	1.0	1.0	1.0
Манчестер Юнайтед	Ньюкасл Юнайтед	0.9	0.4	1.0	1.0	1.0	0.8472222222222222	0.8382352941176471	1.0	0.9333333333333332	0.9166666666666666
Манчестер Юнайтед	Сандерленд	0.8	0.3	1.0	0.8	1.0	0.8181818181818181	0.859375	1.0	0.9090909090909092	0.9848484848484848
Манчестер Юнайтед	Рединг	1.0	0.2	1.0	1.0	1.0	0.9603174603174602	1.0	1.0	0.5555555555555556	0.962962962962963
Манчестер Юнайтед	Куинз Парк Рейнджерс	0.8	0.2	1.0	0.0	1.0	0.9482758620689656	0.9791666666666669	1.0	0.0	0.0
Манчестер Сити	Манчестер Юнайтед	0.8	0.8	0.0	1.0	0.6	0.5151515151515151	0.4482758620689655	0.5	1.0	1.0
Манчестер Сити	Челси	0.6	0.6	1.0	0.0	0.2	0.4745762711864407	0.5392156862745098	0.75	0.8888888888888888	0.9722222222222222
Манчестер Сити	Тоттенхэм Хотспур	0.9	0.6	1.0	1.0	0.0	0.6111111111111112	0.6086956521739131	1.0	0.0	0.0
Манчестер Сити	Эвертон	0.8	0.5	0.5	1.0	0.4	0.6666666666666666	0.6785714285714286	0.5	0.0	0.0
Манчестер Сити	Ливерпуль	0.9	0.7	0.5	1.0	1.0	0.6272727272727272	0.6888888888888889	0.5	0.8571428571428572	0.8571428571428572
Манчестер Сити	Вест Бромвич Альбион	0.7	0.3	1.0	1.0	0.0	0.7071428571428572	0.7	1.0	0.7777777777777778	0.4444444444444444
Манчестер Сити	Суонси Сити	0.8	0.3	1.0	1.0	0.8	0.625	0.6842105263157895	0.5	0.0	0.0
Манчестер Сити	Вест Хэм Юнайтед	0.6	0.7	1.0	1.0	1.0	0.7535211267605634	0.7166666666666667	0.75	1.0	1.0
Манчестер Сити	Норвич Сити	0.7	0.4	0.0	1.0	1.0	0.8541666666666667	0.7936507936507937	1.0	1.0	1.0
Манчестер Сити	Фулхэм	0.8	0.4	1.0	0.6	1.0	0.7788461538461539	0.7804878048780488	1.0	0.875	0.875
Манчестер Сити	Сток Сити	0.6	0.6	1.0	0.2	1.0	0.6630434782608696	0.6666666666666666	0.5	0.9259259259259259	0.9259259259259259
Манчестер Сити	Астон Вилла	0.9	0.3	1.0	1.0	1.0	0.8148148148148149	0.8478260869565217	0.5	0.0	0.0
Манчестер Сити	Ньюкасл Юнайтед	0.5	0.4	1.0	0.6	1.0	0.7857142857142857	0.7549019607843137	1.0	0.8333333333333334	0.875
Манчестер Сити	Сандерленд	0.7	0.6	1.0	1.0	1.0	0.5882352941176471	0.6785714285714286	0.25	0.0	0.0
Манчестер Сити	Уиган Атлетик	0.8	0.7	1.0	1.0	1.0	0.8731343283582089	0.8035714285714286	1.0	0.8333333333333333	0.9
Манчестер Сити	Рединг	0.6	0.0	1.0	1.0	1.0	0.9852941176470588	0.9090909090909092	0.5	0.9047619047619048	0.9047619047619048
Челси	Манчестер Юнайтед	0.9	0.8	0.0	1.0	1.0	0.5625	0.6052631578947368	0.25	0.0	0.0
Челси	Манчестер Сити	0.4	0.9	0.5	1.0	1.0	0.4354838709677419	0.4230769230769231	0.0	0.0	0.0
Челси	Арсенал	0.7	0.7	1.0	0.4	1.0	0.5769230769230769	0.6	0.75	1.0	1.0
Челси	Тоттенхэм Хотспур	0.9	0.8	0.5	1.0	1.0	0.6142857142857143	0.525	1.0	0.9444444444444444	0.8888888888888888
Челси	Эвертон	0.8	0.6	1.0	1.0	0.6	0.6319444444444444	0.5714285714285714	0.5	1.0	1.0
Челси	Ливерпуль	0.7	0.7	0.5	1.0	1.0	0.7592592592592593	0.7608695652173914	0.5	0.0	0.0
Челси	Вест Бромвич Альбион	0.5	0.5	1.0	0.4	1.0	0.6949152542372882	0.5882352941176471	0.0	0.9393939393939394	0.9393939393939394
Челси	Суонси Сити	0.7	0.2	1.0	0.6	1.0	0.7112676056338028	0.6666666666666666	0.25	1.0	1.0
Челси	Вест Хэм Юнайтед	0.5	0.4	1.0	0.6	0.4	0.7777777777777778	0.6862745098039216	0.5	0.9259259259259259	0.8888888888888888
Челси	Норвич Сити	0.9	0.3	1.0	1.0	1.0	1.0	0.9642857142857144	0.75	0.0	0.0
Челси	Фулхэм	0.3	0.3	0.5	1.0	1.0	0.6451612903225806	0.6799999999999999	0.5	0.0	0.0
Челси	Саутгемптон	0.8	0.5	0.5	0.2	1.0	0.8269230769230769	0.7439024390243902	0.5	0.9848484848484848	0.9696969696969696
Челси	Астон Вилла	0.4	0.7	1.0	1.0	1.0	0.7857142857142857	0.6666666666666666	0.5	0.9841269841269842	0.9523809523809524
Челси	Сандерленд	0.6	0.2	1.0	0.0	1.0	0.7803030303030303	0.7222222222222222	1.0	0.9523809523809524	0.9523809523809524
Челси	Уиган Атлетик	0.6	0.3	1.0	0.0	1.0	0.8818181818181818	0.7777777777777778	1.0	0.9743589743589745	0.9487179487179488
Челси	Куинз Парк Рейнджерс	0.8	0.3	0.0	1.0	1.0	0.91	0.8333333333333333	0.75	0.9814814814814816	0.8518518518518519
Арсенал	Манчестер Юнайтед	0.9	0.7	0.5	1.0	1.0	0.4084507042253521	0.325	0.0	1.0	1.0
Арсенал	Манчестер Сити	0.9	0.8	0.0	1.0	0.4	0.4607843137254902	0.35526315789473684	0.75	0.9411764705882352	0.9215686274509804
Арсенал	Челси	0.7	0.9	0.0	1.0	1.0	0.5	0.33333333333333337	0.75	1.0	1.0
Арсенал	Тоттенхэм Хотспур	0.5	0.4	1.0	0.6	0.2	0.5925925925925926	0.4782608695652174	0.5	1.0	1.0
Арсенал	Эвертон	0.8	0.9	0.5	1.0	1.0	0.6119402985074627	0.5357142857142857	0.75	0.9666666666666668	0.9
Арсенал	Ливерпуль	0.5	0.6	0.5	1.0	1.0	0.5660377358490566	0.5375	1.0	0.9777777777777776	0.9333333333333332
Арсенал	Вест Бромвич Альбион	0.5	0.6	1.0	1.0	1.0	0.5454545454545454	0.4166666666666667	1.0	0.9710144927536232	0.9565217391304348
Арсенал	Суонси Сити	0.5	0.7	0.0	1.0	1.0	0.5909090909090909	0.5178571428571429	0.5	0.0	0.0
Арсенал	Вест Хэм Юнайтед	0.5	0.3	1.0	1.0	1.0	0.6730769230769231	0.5853658536585366	1.0	0.9333333333333332	0.8833333333333333
Арсенал	Норвич Сити	0.8	0.3	1.0	1.0	1.0	0.8538461538461539	0.6944444444444444	0.25	0.8888888888888888	0.7777777777777778
Арсенал	Фулхэм	0.4	0.5	0.5	0.4	1.0	0.5384615384615384	0.5	0.25	0.0	0.0
Арсенал	Сток Сити	0.4	0.2	1.0	1.0	1.0	0.7222222222222222	0.5930232558139534	0.5	0.9285714285714286	0.8095238095238095
Арсенал	Астон Вилла	0.7	0.4	1.0	1.0	1.0	0.9107142857142856	0.7083333333333334	0.75	0.9444444444444444	0.9722222222222222
Арсенал	Ньюкасл Юнайтед	0.7	0.4	1.0	1.0	1.0	0.7560975609756098	0.6388888888888888	0.75	0.9473684210526316	0.9298245614035088
Арсенал	Уиган Атлетик	0.8	0.3	1.0	1.0	1.0	0.875	0.7539682539682541	0.5	1.0	1.0
Арсенал	Рединг	0.8	0.0	1.0	1.0	1.0	0.8571428571428572	0.7647058823529411	1.0	0.9166666666666666	0.8333333333333334
Арсенал	Куинз Парк Рейнджерс	0.5	0.2	1.0	0.0	1.0	0.8541666666666667	0.7368421052631579	0.5	0.0	0.0
Тоттенхэм Хотспур	Манчестер Юнайтед	0.8	0.9	0.5	1.0	1.0	0.3557692307692308	0.3125	0.5	0.9583333333333334	0.9166666666666666
Тоттенхэм Хотспур	Манчестер Сити	0.5	0.8	1.0	0.4	1.0	0.38235294117647056	0.41228070175438597	0.0	1.0	1.0
Тоттенхэм Хотспур	Челси	0.9	0.9	0.0	1.0	1.0	0.3695652173913043	0.3529411764705882	0.25	0.0	0.0
Тоттенхэм Хотспур	Арсенал	0.8	0.9	1.0	1.0	1.0	0.4444444444444444	0.5392156862745098	0.0	1.0	1.0
Тоттенхэм Хотспур	Эвертон	0.6	0.6	0.5	0.2	0.6	0.5227272727272727	0.5555555555555556	0.0	0.9523809523809524	0.8095238095238095
Тоттенхэм Хотспур	Ливерпуль	0.4	0.6	1.0	0.6	1.0	0.5	0.58	0.75	0.0	0.0
Тоттенхэм Хотспур	Суонси Сити	0.6	0.7	1.0	1.0	1.0	0.4852941176470588	0.5454545454545454	0.75	0.9848484848484848	0.9545454545454546
Тоттенхэм Хотспур	Вест Хэм Юнайтед	0.2	0.6	1.0	0.4	0.6	0.4354838709677419	0.4615384615384616	0.25	0.0	0.0
Тоттенхэм Хотспур	Фулхэм	0.8	0.6	0.0	1.0	1.0	0.6587301587301587	0.7058823529411764	1.0	0.9259259259259259	0.8888888888888888
Тоттенхэм Хотспур	Сток Сити	0.8	0.8	0.5	1.0	1.0	0.5441176470588235	0.5757575757575758	0.25	0.9682539682539684	0.9523809523809524
Тоттенхэм Хотспур	Саутгемптон	0.6	0.6	1.0	0.8	1.0	0.6901408450704225	0.6916666666666667	0.5	1.0	1.0
Тоттенхэм Хотспур	Астон Вилла	0.8	0.4	1.0	1.0	1.0	0.6521739130434783	0.6764705882352942	0.75	0.0	0.0
Тоттенхэм Хотспур	Ньюкасл Юнайтед	0.7	0.5	1.0	1.0	1.0	0.7181818181818181	0.7	0.5	0.9743589743589745	0.8974358974358975
Тоттенхэм Хотспур	Сандерленд	0.8	0.6	1.0	1.0	1.0	0.7152777777777778	0.7380952380952381	0.75	1.0	1.0
Тоттенхэм Хотспур	Уиган Атлетик	0.8	0.3	0.0	1.0	1.0	0.7083333333333334	0.7368421052631579	1.0	0.0	0.0
Тоттенхэм Хотспур	Рединг	0.7	0.3	1.0	1.0	1.0	0.7717391304347826	0.7948717948717949	1.0	0.962962962962963	0.9259259259259259
Эвертон	Манчестер Сити	0.5	0.6	1.0	0.2	0.4	0.35714285714285715	0.35416666666666663	0.75	0.9259259259259259	0.8148148148148148
Эвертон	Челси	0.8	0.7	0.0	1.0	1.0	0.3804347826086957	0.4743589743589744	0.5	0.9649122807017544	0.9824561403508772
Эвертон	Арсенал	0.5	0.6	0.5	0.2	1.0	0.4354838709677419	0.52	0.0	0.0	0.0
Эвертон	Тоттенхэм Хотспур	0.5	0.6	1.0	0.6	1.0	0.5151515151515151	0.4482758620689655	0.5	0.9855072463768116	0.9710144927536232
Эвертон	Ливерпуль	0.7	0.6	0.5	1.0	1.0	0.6666666666666666	0.6578947368421053	0.0	1.0	1.0
Эвертон	Вест Бромвич Альбион	0.6	0.3	1.0	1.0	0.2	0.5754716981132075	0.55	0.5	0.9777777777777776	0.9333333333333332
Эвертон	Суонси Сити	0.7	0.5	0.5	1.0	1.0	0.54	0.5897435897435898	1.0	0.9607843137254902	0.9019607843137256
Эвертон	Вест Хэм Юнайтед	0.6	0.5	1.0	0.4	1.0	0.6571428571428571	0.6416666666666666	0.75	1.0	1.0
Эвертон	Норвич Сити	0.5	0.8	0.5	0.0	1.0	0.7586206896551724	0.625	0.5	0.0	0.0
Эвертон	Фулхэм	0.6	0.3	1.0	0.0	1.0	0.647887323943662	0.6333333333333333	0.75	1.0	1.0
Эвертон	Сток Сити	0.5	0.3	1.0	0.4	1.0	0.6507936507936508	0.6372549019607843	0.5	0.9166666666666666	0.8333333333333334
Эвертон	Астон Вилла	0.6	0.2	0.5	1.0	1.0	0.8333333333333333	0.7441860465116279	0.75	0.9761904761904762	0.5714285714285714
Эвертон	Сандерленд	0.6	0.4	1.0	1.0	1.0	0.6730769230769231	0.7	1.0	0.0	0.0
Эвертон	Уиган Атлетик	0.7	0.1	1.0	1.0	1.0	0.8194444444444444	0.7205882352941176	0.5	0.9666666666666668	0.75
Эвертон	Рединг	0.4	0.5	1.0	0.0	1.0	0.7118644067796609	0.6862745098039216	0.0	0.8484848484848485	0.9696969696969696
Эвертон	Куинз Парк Рейнджерс	0.7	0.5	1.0	0.8	1.0	0.7692307692307692	0.7592592592592593	0.5	0.7777777777777778	0.6111111111111112
Ливерпуль	Челси	0.6	0.8	0.5	0.6	0.4	0.4117647058823529	0.4035087719298246	0.75	1.0	1.0
